OFL_ISOLATE_ID,OFL_SEQUENCE_ID,NAME,TYPE,H5_CLADE,PASSAGE,COLLECT_DATE,HOST,LOCATION,NOTES,UPDATE_DATE,IS_PUBLIC
OFL_ISL_18303,HA: OFL146405 / HA: OFL485498,A/LYON/1324/2006,A / H3N2,,,2006-12-20,Human,France / Rhone-Alpes / Departement du Rhone / Lyon,,,yes
OFL_ISL_18304,HA: OFL146406 / HA: OFL485636,A/LYON/1331/2006,A / H3N2,,,2006-12-22,Human,France / Rhone-Alpes / Departement du Rhone / Lyon,,,yes
OFL_ISL_18305,HA: OFL482844 / HA: OFL146407,A/LYON/1359/2006,A / H3N2,,,2006-12-27,Human,France / Rhone-Alpes / Departement du Rhone / Lyon,,,yes
OFL_ISL_17719,HA: OFL482839 / HA: OFL145814,A/LYON/636/2006,A / H3N2,,,2006-02-27,Human,France / Rhone-Alpes / Departement du Rhone / Lyon,,,yes
OFL_ISL_11714,HA: OFL115899,A/Louisiana/4/2003,A / H3N,,x/c1,2003-00-00,Human,USA / Louisiana state,,,yes
OFL_ISL_12102,HA: OFL117189,A/Lyon/108/2005,A / H3N,,MDCK3,2005-01-12,Human,France,,,yes
OFL_ISL_19157,HA: OFL153071 / MP: OFL153072,A/Lyon/1381/2007,A / H3N2,,MDCK3,2007-12-18,Human,France / Rhone-Alpes / Departement du Rhone / Lyon,,,yes
OFL_ISL_11955,HA: OFL116827,A/Malaysia/1/2004,A / H3N2,,"X,MDCK1",2004-01-02,Human,Malaysia / Wilayah Persekutuan Kuala Lumpur,,,yes
OFL_ISL_35726,NP: OFL196244 / PA: OFL196271,A/Malaysia/1/2004,A / H3N2,,MDCKX,2004-01-02,Human,Malaysia,,,yes
OFL_ISL_76776,HA: OFL333606 / NA: OFL333605 / MP: OFL333607,A/Minnesota/17/2010,A / H3N2,,,2010-12-06,Human,USA / Minnesota state,,,yes
OFL_ISL_11830,NA: OFL116190,A/Mississippi/5/2004,A / H3N2,,Spfck3E3,2004-12-14,Human,USA / Mississippi state,,,yes
OFL_ISL_21183,NA: OFL123011,A/Mississippi/5/2004,A / HN2,,spfck3E2,2004-12-14,Human,USA / Mississippi state,,,yes
OFL_ISL_17243,HA: OFL485749 / HA: OFL145307,A/NEPAL/1646/2004,A / H3N2,,,2004-07-01,Human,Nepal,,,yes
OFL_ISL_13177,HA: OFL123263,A/Nepal/921/2006,A / H3N2,,EX/E1,2006-00-00,Laboratory derived,Nepal,,,yes
OFL_ISL_21272,HA: OFL486614 / HA: OFL145834,A/Nepal/921/2006,A / H3N2,,,2006-00-00,Laboratory derived,Nepal,,,yes
OFL_ISL_35710,NP: OFL196228 / PA: OFL196255,A/Nepal/921/2006,A / H3N2,,SPFCK2 E3,2006-00-00,Laboratory derived,Nepal,,,yes
OFL_ISL_105630,HA: OFL450527 / NA: OFL450529 / MP: OFL450528 / NP: OFL450530 / NS: OFL450531 / PA: OFL450532 / PB1: OFL450533 / PB2: OFL450534,A/Nepal/921/2006,A / H3N2,,Egg,2006-00-00,Laboratory derived,Nepal,,,yes
OFL_ISL_108698,HA: OFL467784 / NA: OFL467786 / MP: OFL467785 / NP: OFL467787 / NS: OFL467788 / PA: OFL467789 / PB1: OFL467790 / PB2: OFL467791,A/Netherlands/1/2002,A / H3N2,,xMDCK1,2002-01-07,Human,Netherlands,,,yes
OFL_ISL_108696,HA: OFL467768 / NA: OFL467770 / MP: OFL467769 / NP: OFL467771 / NS: OFL467772 / PA: OFL467773 / PB1: OFL467774 / PB2: OFL467775,A/Netherlands/118/2001,A / H3N2,,MDCK1,2001-03-14,Human,Netherlands,,,yes
OFL_ISL_108814,HA: OFL468724 / NA: OFL468726 / MP: OFL468725 / NP: OFL468727 / NS: OFL468728 / PA: OFL468729 / PB1: OFL468730 / PB2: OFL468731,A/Netherlands/124/2001,A / H3N2,,xMDCK1,2001-03-20,Human,Netherlands,,,yes
OFL_ISL_2687,HA: OFL23826 / NA: OFL12715,A/Netherlands/126/2001,A / H3N2,,,2001-03-21,Human,Netherlands,,,yes
OFL_ISL_108815,HA: OFL468732 / NA: OFL468734 / MP: OFL468733 / NP: OFL468735 / NS: OFL468736 / PA: OFL468737 / PB1: OFL468738 / PB2: OFL468739,A/Netherlands/126/2001,A / H3N2,,xMDCK1,2001-03-21,Human,Netherlands,,,yes
OFL_ISL_81014,HA: OFL346934 / NA: OFL346936 / MP: OFL346935 / NP: OFL346937 / NS: OFL346938 / PA: OFL346939 / PB1: OFL346940 / PB2: OFL346941,A/Netherlands/22/2003,A / H3N2,,xMDCK1,2003-02-23,Human,Netherlands,,,yes
OFL_ISL_17495,HA: OFL145577,A/OKAYAMA/29/2005,A / H3N2,,,2005-12-11,Human,Japan / Okayama-shi,,,yes
OFL_ISL_17278,HA: OFL483486 / HA: OFL145349,A/OSAKA/56/2004,A / H3N2,,,2004-09-21,Human,Japan,,,yes
OFL_ISL_18214,HA: OFL485665 / HA: OFL146314,A/PARIS/207/2002,A / H3N2,,,2002-12-01,Human,France / Region Ile-de-France / Departement de Ville-de-Paris,,,yes
OFL_ISL_17285,HA: OFL145357 / HA: OFL484918,A/PERU/1296/2004,A / H3N2,,,2004-01-22,Human,Peru,,,yes
OFL_ISL_16949,HA: OFL145000 / HA: OFL484435,A/PHILIPPINES/472/2002,A / H3N2,,,2002-07-18,Human,Philippines,,,yes
OFL_ISL_89014,HA: OFL372878,A/PHILIPPINES/472/2002,A / H3N2,,MDCK5,2002-07-18,Human,Philippines,,,yes
OFL_ISL_89022,HA: OFL372886,A/PHILIPPINES/472/2002,A / H3N2,,E4,2002-07-18,Human,Philippines,,,yes
OFL_ISL_113545,HA: OFL484442,A/Paris/458/2008,A / H3N2,,,2008-12-01,Human,France / Region Ile-de-France / Departement de Ville-de-Paris / Paris,,,yes
OFL_ISL_105629,HA: OFL450511 / NA: OFL450513 / MP: OFL450512 / NP: OFL450514 / NS: OFL450515 / PA: OFL450516 / PB1: OFL450517 / PB2: OFL450518,A/Perth/10/2010,A / H3N2,,Egg,2010-05-25,Human,Australia / Western Australia,,,yes
OFL_ISL_113104,HA: OFL483869,A/Perth/10/2010,A / H3N2,,,2010-05-25,Human,Australia / Western Australia,,,yes
OFL_ISL_31055,HA: OFL182941 / NA: OFL182942,A/Perth/16/2009,A / H3N2,,MDCKX,2009-04-07,Human,Australia / Western Australia,,,yes
OFL_ISL_49753,HA: OFL243701 / NA: OFL243702,A/Perth/16/2009,A / H3N2,,MDCK-P2,2009-04-07,Human,Australia / Western Australia,,,yes
OFL_ISL_89038,HA: OFL372902,A/Perth/16/2009,A / H3N2,,E5,2009-04-07,Human,Australia / Western Australia,,,yes
OFL_ISL_109523,HA: OFL471253 / HA: OFL487403 / NA: OFL471255 / MP: OFL471256 / NP: OFL471254 / NS: OFL471257 / PA: OFL471252 / PB1: OFL471251 / PB2: OFL471250,A/Perth/16/2009,A / H3N2,,,2009-04-07,Human,Australia / Western Australia,,,yes
OFL_ISL_114793,HA: OFL486042,A/Philippines/2191/2009,A / H3N2,,,2009-05-26,Human,Philippines,,,yes
OFL_ISL_11977,HA: OFL116873,A/Philippines/825/2003,A / H3N2,,MDCKX,2003-07-29,Human,Philippines,,,yes
OFL_ISL_21219,HA: OFL484928 / HA: OFL145141,A/Philippines/825/2003,A / H3N2,,,2003-07-29,Human,Philippines,,,yes
OFL_ISL_114908,HA: OFL486198,A/Poitiers/1341/2008,A / H3N2,,,2008-11-04,Human,France / Poitou-Charentes / Departement de la Vienne / Poitiers,,,yes
OFL_ISL_3919,HA: OFL21468 / NA: OFL21526,A/Pusan/504/2002,A / H3N2,,,2002-00-00,Human,South Korea,,,yes
OFL_ISL_17089,HA: OFL145146 / HA: OFL456947,A/SHANGHAI/369/2003,A / H3N2,,,2003-04-15,Human,China / Shanghai Shi,,,yes
OFL_ISL_17519,HA: OFL145604,A/SINGAPORE/35/2005,A / H3N2,,,2005-05-31,Human,Singapore,,,yes
OFL_ISL_17520,HA: OFL145605,A/SINGAPORE/38/2005,A / H3N2,,,2005-06-07,Human,Singapore,,,yes
OFL_ISL_17784,HA: OFL484316 / HA: OFL145880,A/SINGAPORE/57/2006,A / H3N2,,,2006-07-06,Human,Singapore,,,yes
OFL_ISL_17094,HA: OFL483567 / HA: OFL145151,A/SINGAPORE/95/2003,A / H3N2,,,2003-11-02,Human,Singapore,,,yes
OFL_ISL_17096,HA: OFL145153,A/SOFIA/141/2003,A / H3N2,,,2003-02-01,Human,Bulgaria / Oblast Sofiya-Grad / Municipality of the Capital / Sofia,,,yes
OFL_ISL_35197,HA: OFL484573 / HA: OFL195144,A/Seoul/4436/2008,A / H3N2,,,2008-12-05,Human,South Korea / Soul-t'ukpyolsi,,,yes
OFL_ISL_114056,HA: OFL485120,A/Serres/77/2007,A / H3N2,,,2007-00-00,Human,Greece / Nomos Serron / Serres,,,yes
OFL_ISL_2682,HA: OFL483007 / NA: OFL12699,A/Singapore/15/2001,A / H3N2,,,2001-01-08,Human,Singapore,,,yes
OFL_ISL_11837,NA: OFL116204,A/Singapore/36/2004,A / H3N2,,MDCK,2004-06-15,Human,Singapore,,,yes
OFL_ISL_21116,HA: OFL117007,A/Singapore/36/2004,A / H3N2,,E4,2004-06-15,Human,Singapore,,,yes
OFL_ISL_21244,HA: OFL145376,A/Singapore/36/2004,A / H3N2,,,2004-06-15,Human,Singapore,,,yes
OFL_ISL_12068,HA: OFL117077 / NA: OFL117105,A/Singapore/37/2004,A / H3N2,,E4,2004-06-07,Human,Singapore,,,yes
OFL_ISL_21245,HA: OFL145377,A/Singapore/37/2004,A / H3N2,,,2004-06-07,Human,Singapore,,,yes
OFL_ISL_89027,HA: OFL372891,A/Singapore/37/2004,A / H3N2,,E5,2004-06-07,Human,Singapore,,,yes
OFL_ISL_10424,HA: OFL145606 / HA: OFL106432 / MP: OFL106284,A/Singapore/70/2005,A / H3N2,,,2005-08-10,Human,Singapore,,,yes
OFL_ISL_113988,HA: OFL485031,A/Sofia/319/2007,A / H3N2,,,2007-00-00,Human,Bulgaria / Oblast Sofiya-Grad / Municipality of the Capital / Sofia,,,yes
OFL_ISL_113505,HA: OFL484385,A/Stockholm/1/2010,A / H3N2,,,2010-04-29,Human,Sweden / Stockholms Lan,,,yes
OFL_ISL_112325,HA: OFL482897,A/Stockholm/2/2010,A / H3N2,,,2010-04-30,Human,Sweden / Stockholms Lan,,,yes
OFL_ISL_112754,HA: OFL483412,A/Switzerland/1397477/2008,A / H3N2,,,2008-12-26,Human,Switzerland,,,yes
OFL_ISL_113705,HA: OFL484647,A/Switzerland/1409281/2008,A / H3N2,,,2008-12-31,Human,Switzerland,,,yes
OFL_ISL_17108,HA: OFL483414 / HA: OFL145165,A/TAIWAN/1529/2003,A / H3N2,,,2003-09-07,Human,Taiwan,,,yes
OFL_ISL_16964,HA: OFL145015 / HA: OFL484453,A/TAIWAN/8/2002,A / H3N2,,,2002-09-25,Human,Taiwan,,,yes
OFL_ISL_17795,HA: OFL483469 / HA: OFL145891,A/TAIWAN/99/2006,A / H3N2,,,2006-02-12,Human,Taiwan,,,yes
OFL_ISL_18339,HA: OFL484414 / HA: OFL146442,A/TOULON/1244/2006,A / H3N2,,,2006-12-06,Human,France / Provence-Alpes-Cote d'Azur / Departement du Var / Toulon,,,yes
OFL_ISL_17115,HA: OFL145172,A/TOWNSVILLE/1/2003,A / H3N2,,,2003-07-24,Human,Australia / Queensland / Townsville,,,yes
OFL_ISL_10419,HA: OFL106438 / HA: OFL145615 / MP: OFL106260,A/Taiwan/51/2005,A / H3N2,,,2005-01-27,Human,Taiwan / T'ai-pei Shih / Taipei,,,yes
OFL_ISL_100040,NA: OFL424252 / NP: OFL424034 / NS: OFL424787 / PA: OFL423641 / PB1: OFL423372 / PB2: OFL423101,A/Taiwan/51/2005,A / H3N2,,MDCK1,2005-01-27,Human,Taiwan / T'ai-pei Shih / Taipei,,,yes
OFL_ISL_114476,HA: OFL485670,A/Taiwan/760/2007,A / H3N2,,,2007-10-03,Human,Taiwan,,,yes
OFL_ISL_13274,HA: OFL123576,A/Taiwan/83/2006,A / H3N,,MDCK3,2006-02-04,Human,Taiwan,,,yes
OFL_ISL_67612,NP: OFL301325,A/Taiwan/83/2006,A / H3N2,,C1,2006-02-04,Human,Taiwan,,,yes
OFL_ISL_11815,HA: OFL116104 / NA: OFL116176,A/Tennessee/6/2004,A / H3N2,,M2/C1,2004-08-17,Human,USA / Tennessee state,,,yes
OFL_ISL_21249,HA: OFL145387,A/Tennessee/6/2004,A / H3N2,,,2004-08-17,Human,USA / Tennessee state,,,yes
OFL_ISL_15423,HA: OFL133846 / NA: OFL134038 / MP: OFL152570,A/Texas/37/2007,A / H3N2,,M1/C1,2007-10-13,Human,USA / Texas state,,,yes
OFL_ISL_21289,HA: OFL134062 / NA: OFL134507 / MP: OFL152594,A/Texas/37/2007,A / H3N2,,M1/C3,2007-10-13,Human,USA / Texas state,,,yes
OFL_ISL_11759,HA: OFL115989,A/Texas/40/2003,A / H3N,,cx,2003-00-00,Human,USA / Texas state,,,yes
OFL_ISL_11817,HA: OFL116108 / NA: OFL116178,A/Texas/6/2004,A / H3N2,,M1/C1,2004-09-02,Human,USA / Texas state,,,yes
OFL_ISL_115356,HA: OFL486773,A/Torino/14/2008,A / H3N2,,,2008-12-12,Human,Italy / Regione Piemonte / Provincia di Torino / Torino,,,yes
OFL_ISL_2688,NA: OFL12717,A/Toulouse/878/2001,A / H3N2,,,2001-00-00,Human,France,,,yes
OFL_ISL_17812,HA: OFL486457 / HA: OFL145909,A/UKRAINE/13/2006,A / H3N2,,,2006-03-20,Human,Ukraine,,,yes
OFL_ISL_21290,HA: OFL152541 / NA: OFL152542 / MP: OFL152548,A/Uruguay/716/2007,A / H3N2,,SPFCK1E2,2007-00-00,Human,Uruguay,,,yes
OFL_ISL_21291,HA: OFL152543 / NA: OFL152545 / MP: OFL152547,A/Uruguay/716/2007,A / H3N2,,SPFCK1/E4,2007-00-00,Human,Uruguay,,,yes
OFL_ISL_21292,HA: OFL152544 / NA: OFL152546 / MP: OFL152549,A/Uruguay/716/2007,A / H3N2,,C1/C2,2007-00-00,Human,Uruguay,,,yes
OFL_ISL_89035,HA: OFL372899,A/Uruguay/716/2007,A / H3N2,,E4,2007-00-00,Human,Uruguay,,,yes
OFL_ISL_105564,HA: OFL449995 / NA: OFL449996,A/Uruguay/716/2007,A / H3N2,,,2007-00-00,Human,Uruguay,,,yes
OFL_ISL_105634,HA: OFL450647 / NA: OFL450649 / MP: OFL450648 / NP: OFL450650 / NS: OFL450651 / PA: OFL450652 / PB1: OFL450653 / PB2: OFL450654,A/Uruguay/716/2007,A / H3N2,,Egg,2007-00-00,Human,Uruguay,,,yes
