"nll","delAIC","modname","parname","value","low","high"
3225.34019665154,13.2279488510421,"ATUG","rPro.H1",0.953166637511013,0.76,1.245
3222.7782049096,8.10396536716235,"ATUN","rPro.H1",0.792531143923941,0.575,1.12
3222.8929491361,8.33345382016705,"ATUS","rPro.H1",0.745448299409855,0.57,0.975
3219.84879650222,6.24514855240159,"ATUVG","rPro.H1",0.978087823260422,0.78,1.275
3217.72477824585,1.99711203967854,"ATUVN","rPro.H1",0.817314760101649,0.595,1.15
3217.84883284251,2.24522123298266,"ATUVS","rPro.H1",0.769019050334655,0.59,1.005
3219.85771241926,4.26298038649384,"ATVG","rPro.H1",0.979227577774848,0.78,1.28
3217.72622222602,0,"ATVN","rPro.H1",0.817443694838444,0.595,1.15
3217.8502927543,0.248141056563327,"ATVS","rPro.H1",0.769030087611937,0.59,1.005
3230.28639205487,21.120339657703,"AUG","rPro.H1",0.974429613417445,0.775,1.27
3227.7278074162,16.0031703803797,"AUN","rPro.H1",0.784527713350197,0.575,1.11
3227.8070487018,16.1616529515668,"AUS","rPro.H1",0.746441206973359,0.57,0.975
3225.22217369134,14.9919029306475,"AUVG","rPro.H1",0.999531512667176,0.795,1.3
3223.11915050076,10.7858565494807,"AUVN","rPro.H1",0.808227031372141,0.595,1.14
3223.19951890469,10.946593357351,"AUVS","rPro.H1",0.768831381322412,0.59,1.005
3225.22247514289,12.9925058337594,"AVG","rPro.H1",1,0.795,1.3
3223.12021853079,8.78799260954838,"AVN","rPro.H1",0.807386464634394,0.595,1.14
3223.20058591738,8.9487273827217,"AVS","rPro.H1",0.768700978544479,0.59,1.005
3230.31294508437,19.1734457167076,"AG","rPro.H3",0.933370484778691,0.775,1.195
3227.73803699954,14.0236295470422,"AN","rPro.H3",0.934140561568872,0.705,1.285
3227.8174745713,14.1825046905788,"AS","rPro.H3",0.980900464417984,0.82,1.185
3225.39955816839,11.3466718847449,"ATG","rPro.H3",0.937209197446551,0.77,1.2
3222.80851033499,6.16457621794689,"ATN","rPro.H3",0.917535060505476,0.695,1.255
3222.92381575422,6.39518705641967,"ATS","rPro.H3",0.971694656358645,0.81,1.17
3225.34019665154,13.2279488510421,"ATUG","rPro.H3",0.93866900823764,0.77,1.205
3222.7782049096,8.10396536716235,"ATUN","rPro.H3",0.917236896799323,0.695,1.255
3222.8929491361,8.33345382016705,"ATUS","rPro.H3",0.971544304146275,0.81,1.17
3219.84879650222,6.24514855240159,"ATUVG","rPro.H3",0.94309257203757,0.785,1.21
3217.72477824585,1.99711203967854,"ATUVN","rPro.H3",0.922798876730051,0.7,1.265
3217.84883284251,2.24522123298266,"ATUVS","rPro.H3",0.982763153972837,0.82,1.19
3219.85771241926,4.26298038649384,"ATVG","rPro.H3",0.942284193358744,0.785,1.21
3217.72622222602,0,"ATVN","rPro.H3",0.922518071228838,0.7,1.265
3217.8502927543,0.248141056563327,"ATVS","rPro.H3",0.982495577112539,0.82,1.19
3230.28639205487,21.120339657703,"AUG","rPro.H3",0.933948393486228,0.775,1.195
3227.7278074162,16.0031703803797,"AUN","rPro.H3",0.933955029283519,0.705,1.28
3227.8070487018,16.1616529515668,"AUS","rPro.H3",0.980574252087916,0.82,1.185
3225.22217369134,14.9919029306475,"AUVG","rPro.H3",0.937213182995925,0.79,1.2
3223.11915050076,10.7858565494807,"AUVN","rPro.H3",0.938617627669101,0.71,1.29
